Song,Lyrics
Young And Beautiful,"I've seen the world, done it all"
Young And Beautiful,Had my cake now
Young And Beautiful,"Diamonds, brilliant,"
Young And Beautiful, 
Young And Beautiful,and Bel Air now
Young And Beautiful,"Hot summer nights, mid-July"
Young And Beautiful,When you and I were forever wild
Young And Beautiful,"The crazy days, city lights"
Young And Beautiful,The way you'd play with me like a child
Young And Beautiful,Will you still love me when I'm no longer young and beautiful?
Young And Beautiful,Will you still love me when I got nothing but my aching soul?
Young And Beautiful,"I know you will, I know you will, I know that you will"
Young And Beautiful,Will you still love me when I'm no longer beautiful?
Young And Beautiful,"I've seen the world, lit it up as my stage now"
Young And Beautiful,Channeling angels in the new age now
Young And Beautiful,Hot summer days
Young And Beautiful,", rock and roll"
Young And Beautiful,The way you'd play for me at your show
Young And Beautiful,And all the ways I got to know
Young And Beautiful,Your pretty face and electric soul
Young And Beautiful,Will you still love me when I'm no longer young and beautiful?
Young And Beautiful,Will you still love me when I got nothing but my aching soul?
Young And Beautiful,"I know you will, I know you will, I know that you will"
Young And Beautiful,Will you still love me when I'm no longer beautiful?
Young And Beautiful,"Dear Lord, when I get to Heaven"
Young And Beautiful,"Please, let me bring my man"
Young And Beautiful,"When he comes, tell me that You'll let him in"
Young And Beautiful,"Father, tell me if You can"
Young And Beautiful,"All that grace, all that body"
Young And Beautiful,All that face makes me wanna party
Young And Beautiful,"He's my sun, he makes me shine like diamonds"
Young And Beautiful,And will you still love me when I'm no longer young and beautiful?
Young And Beautiful,Will you still love me when I got nothin' but my aching soul?
Young And Beautiful,"I know you will, I know you will, I know that you will"
Young And Beautiful,Will you still love me when I'm no longer beautiful?
Young And Beautiful,Will you still love me when I'm no longer beautiful?
Young And Beautiful,Will you still love me when I'm not young and beautiful?
Summertime Sadness,Kiss me hard before you go
Summertime Sadness,Summertime sadness
Summertime Sadness,I just wanted you to know
Summertime Sadness,"That, baby, you the best"
Summertime Sadness,I got my red dress on tonight
Summertime Sadness,"Dancin' in the dark, in the pale moonlight"
Summertime Sadness,"Done my hair up real big, beauty queen style"
Summertime Sadness,"High heels off, I'm feelin' alive"
Summertime Sadness,"Oh my God, I feel it in the air"
Summertime Sadness,Telephone wires above are sizzlin' like a snare
Summertime Sadness,"Honey, I'm on fire, I feel it everywhere"
Summertime Sadness,Nothin' scares me anymore
Summertime Sadness, 
Summertime Sadness,Kiss me hard before you go
Summertime Sadness,Summertime sadness
Summertime Sadness,I just wanted you to know
Summertime Sadness,"That, baby, you the best"
Summertime Sadness,"I got that summertime, summertime sadness"
Summertime Sadness,"Su-su-summertime, summertime sadness"
Summertime Sadness,"Got that summertime, summertime sadness"
Summertime Sadness,"Oh, oh, oh"
Summertime Sadness,I'm feelin' electric tonight
Summertime Sadness,"Cruisin' down the coast, goin' 'bout 99"
Summertime Sadness,Got my bad baby by my heavenly side
Summertime Sadness,"I know, if I go, I'll die happy tonight"
Summertime Sadness,"Oh my God, I feel it in the air"
Summertime Sadness,Telephone wires above are sizzlin' like a snare
Summertime Sadness,"Honey, I'm on fire, I feel it everywhere"
Summertime Sadness,Nothin' scares me anymore
Summertime Sadness, 
Summertime Sadness,Kiss me hard before you go
Summertime Sadness,Summertime sadness
Summertime Sadness,I just wanted you to know
Summertime Sadness,"That, baby, you the best"
Summertime Sadness,"I got that summertime, summertime sadness"
Summertime Sadness,"Su-su-summertime, summertime sadness"
Summertime Sadness,"Got that summertime, summertime sadness"
